image,label
ea7b6656-3f84-4eb3-9099-23e623fc1018,T-Shirt
ea2ffd4d-9b25-4ca8-9dc2-bd27f1cc59fa,T-Shirt
5d3a1404-697f-479f-9090-c1ecd0413d27,Shorts
b0c03127-9dfb-4573-8934-1958396937bf,Shirt
4c8f245e-a039-46fd-a6b9-1bb51e83fc05,T-Shirt
c995c900-693d-4dd6-8995-43f3051ec488,Pants
70045b01-b350-4918-be74-2f627290ad7a,Skirt
95609fcf-b2c2-4f35-8454-a308262e30ea,T-Shirt
5dcffea5-5111-4397-b9ed-313b41bdeea8,Shorts
d44cfac9-3fda-47ba-8eb1-8b130f60b08c,Skirt
97074b7f-706a-4c17-b875-bd9baa5bed0e,Pants
e3c8e575-c5b8-4c4c-9f49-62b37b611b6b,Dress
534cb9e4-658e-48a9-a9d9-365149ee52e8,T-Shirt
e6a8b33f-279c-4072-8dba-229d94205e55,Dress
5805e9ba-176c-461b-87f7-ff400291d0fc,Longsleeve
be698ba0-7a2c-4f38-84ea-6223dc15854d,T-Shirt
8f6822c3-862b-4126-9a35-585569aec240,Longsleeve
84a4a5a4-fb02-4009-916d-7e82d65c3e12,Pants
f968404d-6c3a-465e-9edd-347784880455,T-Shirt
f8b84112-9110-4628-91e8-9d22a13767f3,Skirt
c395de85-824c-4cbe-ad6b-ed80f5c15fb7,T-Shirt
5dc34a85-d7f8-45bc-b922-2eae1a704f4b,Shorts
4acdd295-b0b4-4991-a6cd-c9d2c322c347,T-Shirt
073f2d48-e363-474d-acbe-11103356e7e2,Pants
d8445328-a318-434b-9c4e-fa29cf04be41,Shirt
5f2c69cd-918b-4ee0-9e74-7fa12d5095ab,Shorts
c4f11a12-2fcd-4268-8045-5a00aec7e656,Pants
330f1f98-0d3d-4c64-bd82-518e6e157d08,T-Shirt
fb145f9c-024a-4177-ae55-4ef413756ee9,T-Shirt
e85b5945-e8d0-4049-84b4-22ff5907ec8e,Longsleeve
29d44695-c6b6-4b76-8ac9-12032990ba5f,T-Shirt
4b8e5d41-3e12-4d2b-8634-e62e71d613ff,Dress
e912d309-20d4-44c1-887d-43c4e59c76be,T-Shirt
53e1ebfe-5216-4c95-b166-bee422a056f6,T-Shirt
8086c317-da42-48c2-bf29-d1d0063a78c7,T-Shirt
9a858530-6e0d-4bf0-8900-42055c64ddaf,Pants
600e6a2d-1177-4918-9760-610f2d89dc30,Pants
b61be122-02ff-4a32-8da9-d331cbcd3cce,Pants
21183cf1-c20b-4a86-8e86-ab5ca9b26c06,Longsleeve
4eec8a60-15db-46d0-86b4-04e3cd8e75f8,Longsleeve
09f4ffb6-ed86-42b6-ac23-6f8f2359460f,Shirt
46e76b5f-85cb-4dab-a45c-3c1ea74576f3,T-Shirt
87f0405b-bdea-4e8a-a0bf-5199dd1a158c,T-Shirt
e94c0116-4bf1-4fc7-acc5-0710e208583e,Pants
d9e84490-185d-48f9-ac16-4ef3360616d5,Longsleeve
276db6ba-6a50-499f-8a3d-7ede222493df,Pants
9d433006-cfa0-41e8-8a5a-0d80d50a73e4,T-Shirt
9b4aa622-dab1-4d43-abc5-e736e0f600fc,Pants
cb61ac26-e7a5-42a6-8471-66f69a9ccd4d,Dress
fbb54104-ee0f-4180-9216-2696f9df52a5,T-Shirt
081b5ec1-13a6-43c8-991f-9ad2020f646a,Pants
21059bce-cf86-4064-b9af-5dbbbc6e7593,Dress
07349830-408d-42b7-baeb-35ad9a21c6bf,T-Shirt
bfb072bd-4378-47d5-ad94-e11e367fbdd0,Longsleeve
8b6ef17f-0669-40fa-935f-6a6e44fd348d,T-Shirt
f6cdc0f4-9615-4e0c-a22b-6972f6fb4e1a,Pants
ce5e1ff5-b923-462b-b897-c26d7c571ece,Shirt
37ca3848-62c1-4e3c-a672-5627f2270c95,T-Shirt
1a837d72-8a6b-487b-aa36-b3c2d19a8af5,Shorts
dd4a72e6-a2c8-48ec-8cee-07ca47282f58,Shorts
314125df-9112-48b9-9b5e-ad6c4130eee5,Shorts
334bc6ef-fc89-4226-90f3-dd63645ec845,Dress
e976a8f6-6731-485f-8a9a-2872a5208818,T-Shirt
64143c56-3c94-46c4-a96d-b594cf1bb110,Shorts
5909f313-edfd-4d94-9cdb-3a05e02bb926,T-Shirt
9e530520-3973-44d0-b630-e213c809b854,Skirt
1c4c974b-47b3-40bb-a3e2-913e4874dd75,Dress
b8fef860-a816-4c39-8811-11e0909bac51,T-Shirt
8b719bfa-919d-45c1-a83e-86ceec917c41,T-Shirt
f28fb711-b7bf-4d6e-9935-6970a311a14e,Dress
8d5b6ef2-bc6f-4364-a278-580a5d91c7d7,T-Shirt
f1c78283-2da0-45fc-8f20-4f874519d415,Dress
d3dae2c8-5333-4943-b709-2dca57bf9554,T-Shirt
3fe20c87-2f09-459c-9b59-d4e9a07b361e,Pants
c905b7cc-a17a-4c75-b451-87292b51f73a,Pants
8a7353cf-f8e3-4a73-b72e-239ed04d4e2d,Skirt
f97dba0a-37f7-452b-9159-90d4d6757473,Pants
744c6ec1-4bdd-4836-8cec-833449eb2f00,Dress
e527e508-fe15-4369-a497-0134a03c755d,T-Shirt
2b64b726-ffca-44b1-a986-cc9fbdacf665,Pants
8ec6a809-a037-4f2e-b7a8-2361ad62a3af,T-Shirt
456578a1-8a2e-4906-85a4-c93ceef8c108,Shorts
ea3e5f1b-6987-4b1e-88f9-03659eba4dc7,T-Shirt
7e3b8120-6f91-4ddc-aa6f-cf49a5dc62aa,Longsleeve
b951618d-f10d-4c12-82a4-9b18ee12aa2c,Shirt
82878359-5004-44b9-8a93-6234169793a4,Dress
8b82657d-eb42-4468-a073-2513eb0d40f1,T-Shirt
349cf35c-eaad-49af-b0c9-3c88b8d0afc1,Longsleeve
2fb12663-3f0a-407f-8bdf-e366d62d459a,T-Shirt
6b1ba174-b2af-4f56-9899-f258f994019a,Dress
dd262e49-9475-442f-aa1a-7eb21747ca24,Dress
2f0b7b04-c238-465b-8e7a-08fabec28223,Pants
223939a1-c2a0-41c7-8956-fb1b6370ebeb,Pants
f937d0b8-1c6f-432f-86a8-dac89c03b890,Shirt
47ca3979-4cf9-4105-abf4-d9ad12fb5fa5,T-Shirt
9e61d8c2-aaf7-4d5e-b07e-804b082bcf88,Longsleeve
e396a61a-8045-4565-a6f1-a89cd5aab7f3,T-Shirt
bc13e811-2e4f-43ed-859e-80de2745ed12,Shorts
05004de9-8929-45b4-92a6-c881be04e5cc,Longsleeve
af5c0e7c-d950-4e6f-88ac-642a41a27b75,Skirt
0098b991-e36e-4ef1-b5ee-4154b21e2a92,Pants
afc40786-a90b-48ed-a78f-dfb8833d065d,Pants
0d3cf39f-78f1-440e-9504-f510e75aff0b,Dress
e69c6c4d-5c8f-4b4b-866d-7c3917ff2a5e,Dress
ae36221d-b2d9-4508-ac54-fc74951133b8,Longsleeve
724879a7-718d-4b77-b438-eb39ce612395,Pants
c6d71611-6bae-4645-8a93-959973e05f8b,Shirt
8f0c3bd9-5784-4268-b5ee-020122a0dcd3,Pants
63856971-1795-426b-b451-f32e16a74301,Longsleeve
980bcf05-03b4-4628-806e-fd141f92fe82,Longsleeve
9ff5041a-81d2-417c-b6a0-453a2b6b1052,Pants
1823c84a-dc6f-4edc-ae75-b54303132369,Longsleeve
52889e96-b086-4375-92ba-9bd2ddb26fb9,Pants
68fc2f45-6c5d-4a57-a3e7-2f6a72a4c486,T-Shirt
35f5fecb-755a-45d6-ac3d-3feb8299dc87,Dress
d90835e2-e433-4c1b-a43f-4a6ba0f9617a,T-Shirt
5ab0c815-c152-4726-b540-42876b23c34a,Dress
9cc98501-cd54-446f-aabd-035eed242b9d,T-Shirt
7b081f03-1877-4352-aa72-9c993e434ff6,Dress
a8f54cff-a03e-4d7c-add1-ba46b83b43cd,Dress
22ee2330-a2e7-4abf-aec1-0699e819a248,Dress
c3eaa0a4-4c21-4960-949d-3bfbbd99beaf,Longsleeve
805a7767-cec7-4323-9a75-6c5c2024479d,Skirt
2df8bf1f-6d89-4acd-b6f6-9daec6b61b95,Shirt
2ac96388-4353-44b6-a174-de2f2523afd1,Skirt
0fe5eeb6-316f-4f60-b604-8a1b25e23433,Pants
a021443c-ab32-41ff-8df5-cf24f6c5402c,T-Shirt
3f144818-2c26-4038-b48c-763981cc5b49,Dress
3e5a1cd5-b9eb-4f6b-b840-2a17f97c3712,Shirt
71e8c881-2aee-4078-b49e-196d7881880e,Longsleeve
4e6276b7-564c-4a32-9218-13cfc9148263,Pants
9e19f45b-b7d4-4988-948b-0bcda7d83df7,Longsleeve
bc492f26-f7d2-4065-92fb-65b6df7b4ea5,Shirt
39f48611-8f45-4c3d-956f-03490892aaa9,T-Shirt
a5ff9c3a-272f-4f7e-9cb9-e6d848dc4c2c,T-Shirt
7d2cef93-2a52-4462-9b3c-4571c7cf3e0a,T-Shirt
4997d170-1266-4b3b-9a16-37322c9fb2ba,Longsleeve
d97a270c-9349-45f7-a06f-dfaf4f17c495,T-Shirt
a685a9b1-c4af-4302-be13-27ef25d178b5,Pants
52a47d7f-8a47-4c57-8d72-d269d8106aa2,Shorts
157f5e09-784d-45c8-a6bd-6029920ef0fd,Shorts
3da1c365-4f2c-4411-b34c-f0247232fcd7,T-Shirt
1ffb85c6-dbf3-4a01-8e62-49c0be6f0d59,T-Shirt
3f76d021-c94f-499f-9607-8f24fa1e526b,Pants
49eb3fa7-099d-45e8-88b0-35b60b42e386,Pants
ba510e07-0c92-4764-9b4f-d9b12560d1f6,Pants
2459a9ab-b654-4aef-be7c-89340da78cec,Skirt
967cd983-84e9-4812-ab2e-bdf67cc85051,Pants
451b4318-6015-4a82-99b2-4a7e3b467382,Shorts
3c36bf48-07a3-4352-84a4-27f3cd71e22d,Longsleeve
29e6297b-0d6c-49c6-8513-dc64b7b979f5,Shorts
a04786b1-80e1-4e10-903a-36ca728c9b53,T-Shirt
1654e727-45fa-43de-88fb-44bcdf55cacb,Dress
57ee8ecc-e2ca-497a-9bf2-7fafcbc794fa,T-Shirt
dd0ff00d-5ce3-4150-b4ee-05da2c0a6555,Dress
831e024c-83b5-4f66-b9ad-4cd85e6454d4,T-Shirt
96399c5f-1bb4-427a-a4b0-357557fbe712,Shirt
e2d65ea7-508f-4e4e-a646-e1406ff92e03,Shorts
b8b0c023-1fcf-4f16-aeb7-9687f917cd92,T-Shirt
10e7ed9b-3700-417a-a085-f31eaad50c0c,T-Shirt
b9a10398-fdc0-425d-ac63-3b80b45eb899,Shorts
19088710-43ac-467e-85c9-e1094db4f499,T-Shirt
dc458dbc-5d9d-47d1-bb39-f0d3f3327574,T-Shirt
2cd28b7c-b772-4dfa-9336-d08b14e41444,Pants
c5924c48-00cc-43bd-b8a3-300a1ae7551f,Pants
a1a6c91d-9eb1-4e2f-a5b8-3b7f0a6bf67f,Shorts
e246f68a-44bb-4d02-ad51-d9829cc94df1,T-Shirt
b19fb498-3efd-4e74-97e7-86e6843deb31,Longsleeve
78b7da73-ca6c-4e99-b88d-a9f358e7f0f2,Skirt
3d49b769-7585-4033-b853-c16519ceabe4,Shirt
6bedb1ea-9f80-4d65-bca8-7709d34ffb5e,Shirt
ed22b4d2-a0ba-406d-8107-dc98a196cbcc,Shorts
b911d68f-dfea-45fd-b66b-6c2bac08c642,Shorts
5ea28e5a-f527-4954-b17c-a129b64e3f77,Longsleeve
6567c49d-5cd4-44b2-9824-5c8f4caed18f,T-Shirt
b3f2dabc-64ad-44fe-9cb7-ba5d0c5d630c,Pants
4b46c02a-fd7c-4b39-8690-61da8e4396d1,Shirt
c1d0e41f-8144-46d0-b9af-9372e2115b66,T-Shirt
78334dc5-2c60-48f8-a665-5d33e357c2d5,T-Shirt
808694ff-b6de-4f50-a107-a2ab0de65192,Shorts
69d17114-7365-41d1-a1f8-951a53a0683d,T-Shirt
14e754c0-a104-47be-b038-7b1e46068caa,Shorts
0546d34a-a369-4723-8d3a-74c0f51af26c,Dress
e46a8690-75bc-46b4-bdde-fef6437d994f,Shorts
e84c82c0-c1f9-487a-8e98-104e4c218e07,T-Shirt
53318937-a439-4d5e-89d0-96db472ea7cb,Shorts
cec644db-b07c-4420-8199-f5bdd8ea3f83,Skirt
a9894b31-1487-46e2-9a87-c831058b4798,T-Shirt
b8ffc654-326d-4a02-93d7-c9b20732b1e0,Longsleeve
a09d821a-cfa4-4dcb-b734-e45515b3ead0,Dress
a21a0c36-6e58-4419-8139-8346e3635c6b,T-Shirt
e1b266de-a3b0-4ff6-92c3-7302bc57b9cb,Shirt
099de1d5-7422-4230-b11b-fe581139b82c,T-Shirt
cfc50433-e50a-442b-b7e0-273e17a4edad,Pants
1ccfcad0-57a3-44a6-83f7-f42a189cf6bf,Pants
d4825958-1013-4e12-b56c-3d88193cc5d7,Shorts
2b66fdb1-33dd-445f-a422-b17fbe543483,Dress
823f659c-e2eb-4402-9125-30b63b8af830,T-Shirt
d7ea54ee-9a37-42c4-bb14-405817a12b99,Longsleeve
16e5d441-1398-411e-b013-0374019e32a3,Longsleeve
bbb6d814-4f2e-4311-9d53-ff081cb0d5f6,Pants
20e5a129-ac26-4ec2-9bf1-f63427503929,Longsleeve
d9cf9703-1375-4381-a625-d4ea016cc47c,T-Shirt
ef4afaa2-ce6f-4063-83ad-beac8d201e67,Shirt
6cbd8a06-b3b2-49ce-893d-13d49d1411be,Shorts
